"dusty green","#76a973"
"light navy blue","#2e5a88"
"minty green","#0bf77d"
"adobe brown","#bd6c48"
"vivid purple","#ac1db8"
"jade green","#2baf6a"
"electric cyan","#26f7fd"
"pastel lime","#aefd6c"
"dark khaki","#9b8f55"
"golden orange","#ffad01"
"ochre yellow","#c69c04"
"maize yellow","#f4d054"
"faded pink","#de9dac"
"dark forest green","#05480d"
"sandstone beige","#c9ae74"
"dark earthy brown","#60460f"
"light sea green","#98f6b0"
"robin egg blue","#8af1fe"
"aqua marine blue","#2ee8bb"
"dark sea green","#11875d"
"soft pink","#fdb0c0"
"burnt sienna","#b16002"
"cherry red","#f7022a"
"golden mustard","#d5ab09"
"taupe brown","#86775f"
"camel brown","#c69f59"
"dusty mauve grey","#7a687f"
"marine blue","#042e60"
"soft rose pink","#c88d94"
"pale turquoise","#a5fbd5"
"pastel yellow","#fffe71"
"vibrant indigo purple","#6241c7"
"canary yellow","#fffe40"
"muted crimson","#d3494e"
"sepia","#985e2b"
"coffee brown","#a6814c"
"bright magenta","#ff08e8"
"mocha brown","#9d7651"
"ecru beige","#feffca"
"muted purple","#98568d"
"cranberry","#9e003a"
"darkish green","#287c37"
"brown orange","#b96902"
"dusky rose","#ba6873"
"melon orange","#ff7855"
"dull chartreuse green","#94b21c"
"silver","#c5c9c7"
"electric violet-blue","#661aee"
"vivid indigo blue","#6140ef"
"mint hospital green","#9be5aa"
"dirty ochre brown","#7b5804"
"mid blue","#276ab3"
"amber orange","#feb308"
"pastel spring green","#8cfd7e"
"soft blue","#6488ea"
"cerulean blue","#056eee"
"golden brown","#b27a01"
"bright turquoise","#0ffef9"
"neon rose","#fa2a55"
"wine magenta","#820747"
"warm taupe","#7a6a4f"
"vermillion red","#f4320c"
"russet brown","#a13905"
"steel grey","#6f828a"
"bright lavender","#a55af4"
"bright violet","#ad0afd"
"prussian blue","#004577"
"slate green","#658d6d"
"dusty rose","#ca7b80"
"deep teal","#005249"
"pine green","#2b5d34"
"lime yellow","#bff128"
"dark gold","#b59410"
"steel blue","#2976bb"
"deep blue","#014182"
"muted crimson","#bb3f3f"
"hot cherry pink","#fc2647"
"bronze","#a87900"
"pale teal","#82cbb2"
"military green","#667c3e"
"vibrant fuchsia pink","#fe46a5"
"bubblegum pink","#fe83cc"
"olive chartreuse green","#94a617"
"golden ochre","#a88905"
"muddy brown","#7f5f00"
"medium purple","#9e43a2"
"very dark green","#062e03"
"dirt brown","#8a6e45"
"dusky pink","#cc7a8b"
"red violet","#9e0168"
"lemon yellow","#fdff38"
"pistachio green","#c0fa8b"
"faded golden yellow","#eedc5b"
"dark lime green","#7ebd01"
"denim blue","#3b5b92"
"teal blue","#01889f"
"bright sky blue","#3d7afd"
"vibrant indigo","#5f34e7"
"light indigo","#6d5acf"
"muddy olive green","#748500"
"dark olive drab","#706c11"
"dark maroon","#3c0008"
"electric violet","#cb00f5"
"dark forest green","#002d04"
"faded blue","#658cbb"
"drab green","#749551"
"light lime green","#b9ff66"
"dull lime green","#9dc100"
"soft lemon yellow","#faee66"
"light blue green","#7efbb3"
"bordeaux red","#7b002c"
"light mauve","#c292a1"
"ocean blue","#017b92"
"marigold yellow","#fcc006"
"muddy green","#657432"
"dull orange","#d8863b"
"steel grey","#738595"
"electric purple","#aa23ff"
"fluorescent green","#08ff08"
"ochre brown","#9b7a01"
"soft rose pink","#f29e8e"
"soft green","#6fc276"
"bright orange","#ff5b00"
"lemon yellow","#fdff52"
"purple grey","#866f85"
"neon lime","#8ffe09"
"pale lavender","#eecffe"
"violet blue","#510ac9"
"light forest green","#4f9153"
"burnt red","#9f2305"
"khaki green","#728639"
"cerise pink","#de0c62"
"dusty violet","#916e99"
"apricot orange","#ffb16d"
"dark olive green","#3c4d03"
"taupe brown","#7f7053"
"sage grey","#77926f"
"true blue","#010fcc"
"pale violet","#ceaefa"
"periwinkle blue","#8f99fb"
"light sky blue","#c6fcff"
"indigo blue","#5539cc"
"dark olive brown","#544e03"
"teal blue","#017a79"
"bright teal","#01f9c6"
"ochre yellow","#c9b003"
"dull olive","#929901"
"forest green","#0b5509"
"vivid magenta purple","#a00498"
"ultramarine","#2000b1"
"muted lavender","#94568c"
"dirty chartreuse green","#c2be0e"
"bluish grey","#748b97"
"dark periwinkle","#665fd1"
"dark lilac","#9c6da5"
"dusty rose red","#c44240"
"light maroon","#a24857"
"dusty purple","#825f87"
"terra cotta","#c9643b"
"avocado green","#90b134"
"marine blue","#01386a"
"teal green","#25a36f"
"slate grey","#59656d"
"lighter green","#75fd63"
"electric green","#21fc0d"
"dusty blue","#5a86ad"
"golden yellow","#fec615"
"bright yellow","#fffd01"
"light lavender","#dfc5fe"
"umber brown","#b26400"
"muddy ochre","#7f5e00"
"dark peach","#de7e5d"
"jungle green","#048243"
"eggshell white","#ffffd4"
"denim blue","#3b638c"
"yellow brown","#b79400"
"dull purple","#84597e"
"chocolate brown","#411900"
"wine red","#7b0323"
"neon blue","#04d9ff"
"olive drab","#667e2c"
"light tan brown","#fbeeac"
"ice blue","#d7fffe"
"cadet blue","#4e7496"
"dark mauve purple","#874c62"
"very light blue","#d5ffff"
"grey purple","#826d8c"
"pastel pink","#ffbacd"
"very light green","#d1ffbd"
"dark sky blue","#448ee4"
"evergreen green","#05472a"
"dull pink","#d5869d"
"aubergine purple","#3d0734"
"mahogany brown","#4a0100"
"reddish orange","#f8481c"
"deep green","#02590f"
"murky chartreuse","#89a203"
"purple pink","#e03fd8"
"dusty pink","#d58a94"
"faded green","#7bb274"
"camo green","#526525"
"bright lavender pink","#c94cbe"
"vivid rose violet","#db4bda"
"rusty red","#9e3623"
"dark rose","#b5485d"
"earthy brown","#735c12"
"muted brown","#9c6d57"
"emerald green","#028f1e"
"pale brown","#b1916e"
"dull blue","#49759c"
"burnt umber","#a0450e"
"medium green","#39ad48"
"clay brown","#b66a50"
"light aqua","#8cffdb"
"light olive green","#a4be5c"
"warm amber","#cb7723"
"dark aqua","#05696b"
"bright mauve","#ce5dae"
"dark salmon","#c85a53"
"sage green","#96ae8d"
"jade green","#1fa774"
"dull olive green","#7a9703"
"dark beige","#ac9362"
"emerald green","#01a049"
"soft coral red","#d9544d"
"light magenta","#fa5ff7"
"sky blue","#82cafc"
"light cyan","#acfffc"
"yellow orange","#fcb001"
"reddish purple","#910951"
"reddish pink","#fe2c54"
"orchid purple","#c875c4"
"dull golden yellow","#cdc50a"
"orange red","#fd411e"
"deep red","#9a0200"
"orange brown","#be6400"
